t[s],[v4],[v5]
0.01,9.737136,6.400507
0.02,9.737136,6.400507
0.03,9.737136,6.400507
0.04,9.737136,6.400507
0.05,9.737136,6.400507
0.06,9.737136,6.400507
0.07,9.737136,6.400507
0.08,9.737136,6.400507
0.09,9.737136,6.400507
0.120988,9.737136,6.400507
0.130988,9.737136,6.400507
0.140988,9.737136,6.400507
0.150988,9.737136,6.400507
0.160988,9.737136,6.400507
0.170988,9.737136,6.400507
0.180988,9.737136,6.400507
0.190988,9.737136,6.400507
0.200988,9.737136,6.390332
0.210988,9.737136,6.400507
0.238822,9.747304,6.400507
0.248822,9.737136,6.400507
0.258822,9.747304,6.400507
0.268822,9.737136,6.400507
0.278822,9.737136,6.400507
0.288822,9.747304,6.400507
0.298822,9.747304,6.400507
0.308822,9.747304,6.400507
0.318822,9.737136,6.400507
0.328822,9.747304,6.400507
0.347781,9.747304,6.400507
0.357781,9.737136,6.400507
0.367781,9.737136,6.400507
0.377781,9.747304,6.400507
0.387781,9.737136,6.400507
0.397781,9.747304,6.400507
0.407781,9.747304,6.400507
0.417781,9.737136,6.400507
0.427781,9.747304,6.400507
0.437781,9.737136,6.400507
0.462922,9.737136,6.400507
0.472922,9.737136,6.400507
0.482922,9.747304,6.400507
0.492922,9.737136,6.400507
0.502922,9.737136,6.400507
0.512922,9.737136,6.400507
0.522922,9.737136,6.400507
0.532922,9.737136,6.400507
0.542922,9.747304,6.400507
0.552922,9.737136,6.400507
0.580589,9.737136,6.400507
0.590589,9.747304,6.400507
0.600589,9.737136,6.400507
0.610589,9.747304,6.400507
0.620589,9.737136,6.400507
0.630589,9.737136,6.400507
0.640589,9.737136,6.400507
0.650589,9.737136,6.400507
0.660589,9.737136,6.390332
0.670589,9.737136,6.400507
0.69852,9.747304,6.400507
0.70852,9.747304,6.400507
0.71852,9.747304,6.400507
0.72852,9.737136,6.400507
0.73852,9.737136,6.400507
0.74852,9.747304,6.400507
0.75852,9.747304,6.400507
0.76852,9.737136,6.400507
0.77852,9.737136,6.400507
0.78852,9.747304,6.400507
0.810752,9.737136,6.400507
0.820752,9.737136,6.400507
0.830752,9.747304,6.400507
0.840752,9.737136,6.400507
0.850752,9.737136,6.400507
0.860752,9.747304,6.400507
0.870752,9.747304,6.400507
0.880752,9.747304,6.400507
0.890752,9.737136,6.400507
0.900752,9.737136,6.400507
0.923002,9.747304,6.390332
0.933002,9.747304,6.400507
0.943002,9.747304,6.400507
0.953002,9.737136,6.400507
0.963002,9.737136,6.400507
0.973002,9.737136,6.400507
0.983002,9.747304,6.400507
0.993002,9.737136,6.400507
1.003002,9.737136,6.400507
1.013002,9.747304,6.400507
1.027058,9.737136,6.400507
1.037058,9.737136,6.400507
1.047058,9.747304,6.400507
1.057058,9.737136,6.400507
1.067058,9.747304,6.400507
1.077058,9.747304,6.400507
1.087058,9.737136,6.400507
1.097058,9.737136,6.400507
1.107058,9.747304,6.390332
1.117058,9.747304,6.400507
1.128839,9.737136,6.390332
1.138839,9.737136,6.400507
1.148839,9.737136,6.400507
1.158839,9.737136,6.400507
1.168839,9.737136,6.390332
1.178839,9.747304,6.400507
1.188839,9.747304,6.400507
1.198839,9.747304,6.400507
1.208839,9.737136,6.400507
1.218839,9.737136,6.400507
1.236412,9.737136,6.400507
1.246412,9.737136,6.400507
1.256412,9.737136,6.410682
1.266412,9.747304,6.400507
1.276412,9.737136,6.400507
1.286412,9.747304,6.400507
1.296412,9.747304,6.400507
1.306412,9.737136,6.400507
1.316412,9.747304,6.400507
1.326412,9.737136,6.400507
1.354133,9.737136,6.400507
1.364133,9.747304,6.400507
1.374133,9.747304,6.400507
1.384133,9.747304,6.400507
1.394133,9.747304,6.400507
1.404133,9.747304,6.400507
1.414133,9.737136,6.400507
1.424133,9.747304,6.400507
1.434133,9.747304,6.400507
1.444133,9.747304,6.400507
1.466911,9.737136,6.400507
1.476911,9.747304,6.400507
1.486911,9.737136,6.400507
1.496911,9.747304,6.400507
1.506911,9.747304,6.400507
1.516911,9.737136,6.400507
1.526911,9.737136,6.400507
1.536911,9.747304,6.400507
1.546911,9.737136,6.400507
1.556911,9.737136,6.400507
1.57433,9.737136,6.400507
1.58433,9.737136,6.400507
1.59433,9.747304,6.400507
1.60433,9.737136,6.400507
1.61433,9.747304,6.400507
1.62433,9.747304,6.400507
1.63433,9.747304,6.400507
1.64433,9.747304,6.400507
1.65433,9.737136,6.400507
1.66433,9.737136,6.400507
1.678495,9.737136,6.400507
1.688495,9.747304,6.400507
1.698495,9.737136,6.400507
1.708495,9.737136,6.390332
1.718495,9.747304,6.400507
1.728495,9.747304,6.400507
1.738495,9.737136,6.400507
1.748495,9.747304,6.400507
1.758495,9.737136,6.400507
1.768495,9.737136,6.400507
1.786809,9.747304,6.400507
1.796809,9.747304,6.400507
1.806809,9.737136,6.400507
1.816809,9.747304,6.400507
1.826809,9.747304,6.400507
1.836809,9.737136,6.400507
1.846809,9.737136,6.400507
1.856809,9.747304,6.400507
1.866809,9.737136,6.400507
1.876809,9.747304,6.400507
1.895902,9.737136,6.400507
1.905902,9.747304,6.400507
1.915902,9.747304,6.400507
1.925902,9.747304,6.400507
1.935902,9.747304,6.400507
1.945902,9.747304,6.400507
1.955902,9.737136,6.400507
1.965902,9.737136,6.400507
1.975902,9.737136,6.400507
1.985902,9.737136,6.400507
2.011784,9.737136,6.400507
2.021784,9.747304,6.400507
2.031784,9.747304,6.400507
2.041784,9.737136,6.400507
2.051784,9.747304,6.400507
2.061784,9.737136,6.400507
2.071784,9.737136,6.400507
2.081784,9.737136,6.400507
2.091784,9.737136,6.400507
2.101784,9.747304,6.400507
2.123872,9.747304,6.400507
2.133872,9.747304,6.400507
2.143872,9.737136,6.400507
2.153872,9.747304,6.400507
2.163872,9.737136,6.400507
2.173872,9.737136,6.400507
2.183872,9.737136,6.400507
2.193872,9.737136,6.400507
2.203872,9.747304,6.400507
2.213872,9.737136,6.400507
2.231274,9.747304,6.400507
2.241274,9.747304,6.400507
2.251274,9.747304,6.400507
2.261274,9.747304,6.400507
2.271274,9.737136,6.400507
2.281274,9.737136,6.400507
2.291274,9.737136,6.400507
2.301274,9.747304,6.390332
2.311274,9.747304,6.400507
2.321274,9.737136,6.400507
2.341244,9.747304,6.400507
2.351244,9.737136,6.400507
2.361244,9.737136,6.400507
2.371244,9.747304,6.400507
2.381244,9.737136,6.400507
2.391244,9.737136,6.390332
2.401244,9.747304,6.400507
2.411244,9.747304,6.400507
2.421244,9.737136,6.400507
2.431244,9.747304,6.400507
2.45813,9.737136,6.400507
2.46813,9.737136,6.390332
2.47813,9.737136,6.400507
2.48813,9.747304,6.400507
2.49813,9.737136,6.400507
2.50813,9.737136,6.400507
2.51813,9.747304,6.400507
2.52813,9.747304,6.400507
2.53813,9.737136,6.400507
2.54813,9.747304,6.400507
2.569352,9.737136,6.400507
2.579352,9.747304,6.400507
2.589352,9.747304,6.400507
2.599352,9.747304,6.400507
2.609352,9.747304,6.400507
2.619352,9.737136,6.400507
2.629352,9.737136,6.400507
2.639352,9.737136,6.400507
2.649352,9.747304,6.400507
2.659352,9.737136,6.400507
2.671987,9.747304,6.400507
2.681987,9.747304,6.400507
2.691987,9.747304,6.400507
2.701987,9.737136,6.400507
2.711987,9.747304,6.400507
2.721987,9.737136,6.400507
2.731987,9.747304,6.400507
2.741987,9.747304,6.400507
2.751987,9.747304,6.400507
2.761987,9.747304,6.400507
2.780936,9.747304,6.400507
2.790936,9.737136,6.400507
2.800936,9.737136,6.400507
2.810936,9.747304,6.400507
2.820936,9.737136,6.400507
2.830936,9.747304,6.400507
2.840936,9.747304,6.400507
2.850936,9.747304,6.400507
2.860936,9.747304,6.400507
2.870936,9.747304,6.400507
2.898187,9.737136,6.400507
2.908187,9.737136,6.400507
2.918187,9.737136,6.400507
2.928187,9.747304,6.400507
2.938187,9.747304,6.400507
2.948187,9.737136,6.400507
2.958187,9.716801,6.390332
2.968187,9.737136,6.390332
2.978187,9.737136,6.400507
2.988187,9.747304,6.400507
3.009926,9.726968,6.390332
3.019926,9.726968,6.390332
3.029926,9.737136,6.390332
3.039926,9.737136,6.390332
3.049926,9.726968,6.390332
3.059926,9.737136,6.390332
3.069926,9.747304,6.400507
3.079926,9.757471,6.410682
3.089926,9.767639,6.400507
3.099926,9.787974,6.400507
3.118777,9.838812,6.410682
3.128777,9.879483,6.410682
3.138777,9.909985,6.410682
3.148777,9.909985,6.390332
3.158777,9.909985,6.349632
3.168777,9.909985,6.258057
3.178777,9.909985,6.085083
3.188777,9.909985,5.871408
3.198777,9.909985,5.586509
3.208777,9.909985,5.250734
3.223733,9.909985,4.680936
3.233733,9.909985,4.396036
3.243733,9.909985,4.121312
3.253733,9.909985,3.866937
3.263733,9.909985,3.632913
3.273733,9.909985,3.429413
3.283733,9.909985,3.236089
3.293733,9.909985,3.032589
3.303733,9.909985,2.839264
3.313733,9.909985,2.66629
3.334693,9.909985,2.36104
3.344693,9.909985,2.269466
3.354693,9.909985,2.218591
3.364693,9.909985,2.188066
3.374693,9.909985,2.188066
3.384693,9.909985,2.188066
3.394693,9.909985,2.208416
3.404693,9.909985,2.259291
3.414693,9.899818,2.36104
3.424693,9.909985,2.48314
3.451358,9.899818,2.890139
3.461358,9.909985,3.073289
3.471358,9.899818,3.256438
3.481358,9.909985,3.429413
3.491358,9.899818,3.592213
3.501358,9.909985,3.795712
3.511358,9.909985,4.009387
3.521358,9.899818,4.212887
3.531358,9.909985,4.396036
3.541358,9.899818,4.579186
3.562896,9.838812,5.01671
3.572896,9.787974,5.240559
3.582896,9.716801,5.464409
3.592896,9.655795,5.688259
3.602896,9.594789,5.942633
3.612896,9.523616,6.166483
3.622896,9.452443,6.420857
3.632896,9.310096,6.665056
3.642896,9.086409,6.939781
3.652896,8.842386,7.20433
3.666361,8.517022,7.601155
3.676361,8.303502,7.845354
3.686361,8.079815,8.099729
3.696361,7.896798,8.343928
3.706361,7.67311,8.547428
3.716361,7.479925,8.761102
3.726361,7.24607,8.995127
3.736361,7.063053,9.168101
3.746361,6.869868,9.371601
3.756361,6.717354,9.463176
3.774209,6.452996,9.575101
3.784209,6.310649,9.63615
3.794209,6.208973,9.6972
3.804209,6.097129,9.75825
3.814209,6.005621,9.809125
3.824209,5.934448,9.86
3.834209,5.863274,9.9007
3.844209,5.812436,9.92105
3.854209,5.751431,9.910875
3.864209,5.71076,9.910875
3.886691,5.619252,9.92105
3.896691,5.558246,9.910875
3.906691,5.507408,9.92105
3.916691,5.466737,9.910875
3.926691,5.45657,9.92105
3.936691,5.446402,9.92105
3.946691,5.446402,9.92105
3.956691,5.45657,9.910875
3.966691,5.49724,9.92105
3.976691,5.558246,9.92105
4.003182,5.812436,9.83965
4.013182,5.92428,9.7786
4.023182,6.005621,9.71755
4.033182,6.117465,9.6565
4.043182,6.229308,9.59545
4.053182,6.341152,9.534401
4.063182,6.463164,9.483526
4.073182,6.595343,9.412301
4.083182,6.747857,9.229151
4.093182,6.880036,9.056177
4.120451,7.327411,8.527078
4.130451,7.510428,8.313403
4.140451,7.683278,8.099729
